KO	cefoperazone-pretreated	clindamycin-pretreated	streptomycin-pretreated	ex-germfree	gene_name	CD630_genes	pathways	enzymatic_reactions	chemical_formulas
K01783	17	12	17	4	ribulose-phosphate_3-epimerase_[EC:5.1.3.1]	cdf:CD630_23190,cdf:CD630_25750	Pentose_phosphate_pathway,Pentose_and_glucuronate_interconversions,Carbon_fixation_in_photosynthetic_organisms,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R01529	C00199<=>C00231,C00231=>C00199,C00231<=>C00199
K01784	14	8	7	2	UDP-glucose_4-epimerase_[EC:5.1.3.2]	cdf:CD630_27140	Galactose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00291	C00029<=>C00052,C00052<=>C00029
K01788	8	0	9	1	N-acylglucosamine-6-phosphate_2-epimerase_[EC:5.1.3.9]	cdf:CD630_22410	Amino_sugar_and_nucleotide_sugar_metabolism	R02087	C04257=>C00357
K01791	0	2	3	0	UDP-N-acetylglucosamine_2-epimerase_[EC:5.1.3.14]	cdf:CD630_10330	Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00414,R00420	C00043=>C00645,C00043<=>C00645,C00043=>C01170,C01170<=>C00043
K01803	94	22	18	12	triosephosphate_isomerase_(TIM)_[EC:5.3.1.1]	cdf:CD630_31720	Glycolysis_/_Gluconeogenesis,Fructose_and_mannose_metabolism,Inositol_phosphate_metabolism,Carbon_fixation_in_photosynthetic_organisms,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R01015	C00118<=>C00111,C00111=>C00118,C00118=>C00111,C00111<=>C00118
K01805	6	5	1	1	xylose_isomerase_[EC:5.3.1.5]	cdf:CD630_30640	Pentose_and_glucuronate_interconversions,Fructose_and_mannose_metabolism,Metabolic_pathways	R00878,R01432	C00267<=>C00095,C00181<=>C00310
K01808	25	15	24	3	ribose_5-phosphate_isomerase_B_[EC:5.3.1.6]	cdf:CD630_23200,cdf:CD630_34800	Pentose_phosphate_pathway,Fructose_and_mannose_metabolism,Carbon_fixation_in_photosynthetic_organisms,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R01056,R09030	C00117<=>C00199,C00117=>C00199,C02962=>C18096,C02962<=>C18096
K01809	4	2	2	1	mannose-6-phosphate_isomerase_[EC:5.3.1.8]	cdf:CD630_24910	Fructose_and_mannose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R01819	C00275<=>C05345
K01810	43	21	36	4	glucose-6-phosphate_isomerase_[EC:5.3.1.9]	cdf:CD630_32850	Glycolysis_/_Gluconeogenesis,Pentose_phosphate_pathway,Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R02739,R02740,R03321	C00668<=>C01172,C00668<=>C05345,C05345<=>C00668,C01172<=>C05345,C05345<=>C01172
K01811	10	7	3	2	alpha-D-xyloside_xylohydrolase_[EC:3.2.1.177]	cdf:CD630_30710	NA	NA	NA
K01814	0	1	1	0	phosphoribosylformimino-5-aminoimidazole_carboxamide_ribotide_isomerase_[EC:5.3.1.16]	cdf:CD630_15520	Histidine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R04640	C04896=>C04916,C04896<=>C04916
K01835	16	16	23	3	phosphoglucomutase_[EC:5.4.2.2]	cdf:CD630_15770,cdf:CD630_27800	Glycolysis_/_Gluconeogenesis,Pentose_phosphate_pathway,Galactose_metabolism,Purine_metabolism,Starch_and_sucrose_metabolism,Amino_sugar_and_nucleotide_sugar_metabolism,Streptomycin_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments	R00959,R01057,R08639	C00103<=>C00668,C00620<=>C00117,C00103<=>C00092
K01838	1	2	3	0	beta-phosphoglucomutase_[EC:5.4.2.6]	cdf:CD630_21890,cdf:CD630_31280	Starch_and_sucrose_metabolism	R02728	C00663<=>C01172
K01839	15	13	15	1	phosphopentomutase_[EC:5.4.2.7]	cdf:CD630_12230	Pentose_phosphate_pathway,Purine_metabolism	R01057,R02749	C00620<=>C00117,C00672<=>C00673
K01867	17	14	4	3	tryptophanyl-tRNA_synthetase_[EC:6.1.1.2]	cdf:CD630_26100	Aminoacyl-tRNA_biosynthesis	R03664	C00078=>C03512
K01868	22	21	25	11	threonyl-tRNA_synthetase_[EC:6.1.1.3]	cdf:CD630_05740	Aminoacyl-tRNA_biosynthesis	R03663	C00188=>C02992
K01869	17	17	16	11	leucyl-tRNA_synthetase_[EC:6.1.1.4]	cdf:CD630_25210	Aminoacyl-tRNA_biosynthesis	R03657	C00123=>C02047
K01870	34	30	25	16	isoleucyl-tRNA_synthetase_[EC:6.1.1.5]	cdf:CD630_26180	Aminoacyl-tRNA_biosynthesis	R03656	C00407=>C03127
K01872	14	10	11	4	alanyl-tRNA_synthetase_[EC:6.1.1.7]	cdf:CD630_12820	Aminoacyl-tRNA_biosynthesis	R03038	C00041=>C00886
K01873	27	22	16	9	valyl-tRNA_synthetase_[EC:6.1.1.9]	cdf:CD630_32560	Aminoacyl-tRNA_biosynthesis	R03665	C00183=>C02554
K01874	16	10	10	14	methionyl-tRNA_synthetase_[EC:6.1.1.10]	cdf:CD630_35400	Selenocompound_metabolism,Aminoacyl-tRNA_biosynthesis	R03659,R04773	C00073=>C02430,C05335=>C05336
K01875	28	20	22	25	seryl-tRNA_synthetase_[EC:6.1.1.11]	cdf:CD630_00140,cdf:CD630_28400	Aminoacyl-tRNA_biosynthesis	R03662,R08218	C00065=>C02553,C00065=>C06481
K01876	23	16	11	31	aspartyl-tRNA_synthetase_[EC:6.1.1.12]	cdf:CD630_27390	Aminoacyl-tRNA_biosynthesis	R05577	C00049=>C02984
K01878	20	14	18	26	glycyl-tRNA_synthetase_alpha_chain_[EC:6.1.1.14]	cdf:CD630_24330	Aminoacyl-tRNA_biosynthesis	R03654	C00037=>C02412
K01879	28	19	24	6	glycyl-tRNA_synthetase_beta_chain_[EC:6.1.1.14]	cdf:CD630_24320	Aminoacyl-tRNA_biosynthesis	R03654	C00037=>C02412
K01881	85	54	78	12	prolyl-tRNA_synthetase_[EC:6.1.1.15]	cdf:CD630_00490,cdf:CD630_00500	Aminoacyl-tRNA_biosynthesis	R03661	C00148=>C02702
K01886	16	12	15	6	glutaminyl-tRNA_synthetase_[EC:6.1.1.18]	cdf:CD630_20590	Aminoacyl-tRNA_biosynthesis,Metabolic_pathways	R03652	C00064=>C02282,C02282<=>C00064
K01887	15	10	7	4	arginyl-tRNA_synthetase_[EC:6.1.1.19]	cdf:CD630_07110	Aminoacyl-tRNA_biosynthesis	R03646	C00062=>C02163
K01890	21	18	13	5	phenylalanyl-tRNA_synthetase_beta_chain_[EC:6.1.1.20]	cdf:CD630_07000	Aminoacyl-tRNA_biosynthesis	R03660	C00079=>C03511
K01892	14	11	7	3	histidyl-tRNA_synthetase_[EC:6.1.1.21]	cdf:CD630_27400	Aminoacyl-tRNA_biosynthesis	R03655	C00135=>C02988
K01893	18	10	8	24	asparaginyl-tRNA_synthetase_[EC:6.1.1.22]	cdf:CD630_22450	Aminoacyl-tRNA_biosynthesis	R03648	C00152=>C03402
K01915	9	6	10	3	glutamine_synthetase_[EC:6.3.1.2]	cdf:CD630_13430	Alanine,_aspartate_and_glutamate_metabolism,Arginine_and_proline_metabolism,Glyoxylate_and_dicarboxylate_metabolism,Nitrogen_metabolism,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Biosynthesis_of_amino_acids,Two-component_system,Glutamatergic_synapse,GABAergic_synapse	R00253	C00025=>C00064,C00014=>C00064,C00014<=>C00064,C00025<=>C00064
K01916	9	9	10	0	NAD+_synthase_[EC:6.3.1.5]	cdf:CD630_07940	Nicotinate_and_nicotinamide_metabolism,Metabolic_pathways	R00189	C00857=>C00003,C00857<=>C00003
K01918	4	2	4	1	pantoate--beta-alanine_ligase_[EC:6.3.2.1]	cdf:CD630_15120	beta-Alanine_metabolism,Pantothenate_and_CoA_biosynthesis,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R02473	C00099=>C00864,C00099+C00522=>C00864,C00099+C00522<=>C00864,C00522+C00099<=>C00864
K01921	3	12	2	2	D-alanine-D-alanine_ligase_[EC:6.3.2.4]	cdf:CD630_14080	D-Alanine_metabolism,Peptidoglycan_biosynthesis,Metabolic_pathways	R01150	C00133=>C00993,C00133<=>C00993
K01923	31	23	20	1	phosphoribosylaminoimidazole-succinocarboxamide_synthase_[EC:6.3.2.6]	cdf:CD630_02190,cdf:CD630_04890	Purine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R04591	C04751<=>C04823
K01924	24	23	17	4	UDP-N-acetylmuramate--alanine_ligase_[EC:6.3.2.8]	cdf:CD630_35180	D-Glutamine_and_D-glutamate_metabolism,Peptidoglycan_biosynthesis,Metabolic_pathways	R03193	C01050=>C01212,C01212<=>C01050
K01925	12	14	9	1	UDP-N-acetylmuramoylalanine--D-glutamate_ligase_[EC:6.3.2.9]	cdf:CD630_26530	D-Glutamine_and_D-glutamate_metabolism,Peptidoglycan_biosynthesis,Metabolic_pathways	R02783	C00217+C01212=>C00692,C01212=>C00692,C01212<=>C00692
K01926	44	29	44	23	redox-sensing_transcriptional_repressor	cdf:CD630_01710	NA	NA	NA
K01928	5	9	2	1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate_ligase_[EC:6.3.2.13]	cdf:CD630_26640	Lysine_biosynthesis,Peptidoglycan_biosynthesis	R02788	C00680=>C04877,C00692=>C04877
K01929	6	8	5	1	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine_ligase_[EC:6.3.2.10]	cdf:CD630_26550	Lysine_biosynthesis,Peptidoglycan_biosynthesis,Metabolic_pathways	R04573,R04617	C05892+C00993=>C04702,C05892<=>C04702,C04877=>C04882,C04877+C00993=>C04882
K01934	1	5	8	0	5-formyltetrahydrofolate_cyclo-ligase_[EC:6.3.3.2]	cdf:CD630_34560	One_carbon_pool_by_folate,Metabolic_pathways	R02301	C03479=>C00445,C03479<=>C00445
K01938	19	46	107	8	formate--tetrahydrofolate_ligase_[EC:6.3.4.3]	cdf:CD630_07180	One_carbon_pool_by_folate,Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism	R00943	C00101=>C00234,C00101+C00058=>C00234,C00101<=>C00234,C00234<=>C00058,C00058+C00101<=>C00234
K01939	17	11	5	14	adenylosuccinate_synthase_[EC:6.3.4.4]	cdf:CD630_36550	Purine_metabolism,Alanine,_aspartate_and_glutamate_metabolism,Metabolic_pathways	R01135	C00130=>C03794,C00049=>C03794,C03794<=>C00130
K01940	4	4	5	0	argininosuccinate_synthase_[EC:6.3.4.5]	cdf:CD630_17850	Alanine,_aspartate_and_glutamate_metabolism,Arginine_and_proline_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Biosynthesis_of_amino_acids	R01954	C00049=>C03406,C00049+C00327=>C03406,C00049+C00327<=>C03406,C00327+C00049<=>C03406,C00327=>C03406
K01945	12	9	10	2	phosphoribosylamine--glycine_ligase_[EC:6.3.4.13]	cdf:CD630_02240	Purine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R04144	C03090=>C03838,C03090<=>C03838
K01951	23	21	19	15	GMP_synthase_(glutamine-hydrolysing)_[EC:6.3.5.2]	cdf:CD630_01980	Purine_metabolism,Drug_metabolism_-_other_enzymes,Metabolic_pathways	R01230,R01231,R08244	C00655=>C00144,C00655<=>C00144,C00655=>C00144,C00655<=>C00144,C16618=>C16619
K01952	17	12	17	2	phosphoribosylformylglycinamidine_synthase_[EC:6.3.5.3]	cdf:CD630_02250	Purine_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R04463	C04376=>C04640,C04376<=>C04640
K01953	0	4	2	0	asparagine_synthase_(glutamine-hydrolysing)_[EC:6.3.5.4]	cdf:CD630_03910,cdf:CD630_16320	Alanine,_aspartate_and_glutamate_metabolism,Metabolic_pathways,Biosynthesis_of_secondary_metabolites	R00578	C00049<=>C00152,C00152<=>C00049
K01955	14	7	9	12	carbamoyl-phosphate_synthase_large_subunit_[EC:6.3.5.5]	cdf:CD630_35880,cdf:CD630_35900	Pyrimidine_metabolism,Alanine,_aspartate_and_glutamate_metabolism,Metabolic_pathways	R00575	C00064=>C00169,C00064<=>C00169
K01956	5	4	3	4	carbamoyl-phosphate_synthase_small_subunit_[EC:6.3.5.5]	cdf:CD630_35890,cdf:CD630_35910	Pyrimidine_metabolism,Alanine,_aspartate_and_glutamate_metabolism,Metabolic_pathways	R00575	C00064=>C00169,C00064<=>C00169
K01958	14	14	8	1	pyruvate_carboxylase_[EC:6.4.1.1]	cdf:CD630_00210	Citrate_cycle_(TCA_cycle),Pyruvate_metabolism,Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Biosynthesis_of_amino_acids	R00344	C00022=>C00036,C00036<=>C00022,C00022<=>C00036
K01961	54	25	20	1	acetyl-CoA_carboxylase,_biotin_carboxylase_subunit_[EC:6.4.1.2_6.3.4.14]	cdf:CD630_19380	Fatty_acid_biosynthesis,Tetracycline_biosynthesis,Pyruvate_metabolism,Propanoate_metabolism,Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Fatty_acid_metabolism	R00742,R04385,R04386	C00024=>C00083,C00288+C00024=>C00083,C00024<=>C00083,C06250=>C04419,C04419+C00024<=>C06250+C00083,C00024=>C00083
K01962	41	17	13	0	acetyl-CoA_carboxylase_carboxyl_transferase_subunit_alpha_[EC:6.4.1.2]	cdf:CD630_19360	Fatty_acid_biosynthesis,Tetracycline_biosynthesis,Pyruvate_metabolism,Propanoate_metabolism,Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Fatty_acid_metabolism	R00742,R04386	C00024=>C00083,C00288+C00024=>C00083,C00024<=>C00083,C04419+C00024<=>C06250+C00083,C00024=>C00083
K01963	49	20	16	0	acetyl-CoA_carboxylase_carboxyl_transferase_subunit_beta_[EC:6.4.1.2]	cdf:CD630_19370	Fatty_acid_biosynthesis,Tetracycline_biosynthesis,Pyruvate_metabolism,Propanoate_metabolism,Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Fatty_acid_metabolism	R00742,R04386	C00024=>C00083,C00288+C00024=>C00083,C00024<=>C00083,C04419+C00024<=>C06250+C00083,C00024=>C00083
K01985	2	0	0	29	5S_ribosomal_RNA	cdf:CD630_r0030,cdf:CD630_r0060,cdf:CD630_r0090,cdf:CD630_r0120,cdf:CD630_r0150,cdf:CD630_r0180,cdf:CD630_r0210,cdf:CD630_r0240,cdf:CD630_r0270,cdf:CD630_r0300	Ribosome	NA	NA
K01989	78	0	2	26	putative_ABC_transport_system_substrate-binding_protein	cdf:CD630_08730,cdf:CD630_08760	NA	NA	NA
K01990	42	44	54	4	ABC-2_type_transport_system_ATP-binding_protein	cdf:CD630_02930,cdf:CD630_03180,cdf:CD630_03660,cdf:CD630_04780,cdf:CD630_06450,cdf:CD630_06530,cdf:CD630_06670,cdf:CD630_08220,cdf:CD630_10970,cdf:CD630_12680,cdf:CD630_13490,cdf:CD630_15040,cdf:CD630_16040,cdf:CD630_16070,cdf:CD630_16180,cdf:CD630_18890,cdf:CD630_20240,cdf:CD630_21050,cdf:CD630_31620,cdf:CD630_33640	NA	NA	NA
K01992	25	24	29	1	ABC-2_type_transport_system_permease_protein	cdf:CD630_02940,cdf:CD630_03650,cdf:CD630_04790,cdf:CD630_04800,cdf:CD630_10950,cdf:CD630_12660,cdf:CD630_12670,cdf:CD630_13500,cdf:CD630_13510,cdf:CD630_16030,cdf:CD630_21040,cdf:CD630_33620,cdf:CD630_33630	NA	NA	NA
K02003	3	2	2	1	putative_ABC_transport_system_ATP-binding_protein	cdf:CD630_03360,cdf:CD630_04840,cdf:CD630_15320,cdf:CD630_18740,cdf:CD630_35850,cdf:CD630_36230	NA	NA	NA
K02004	21	16	13	2	putative_ABC_transport_system_permease_protein	cdf:CD630_15270,cdf:CD630_15330,cdf:CD630_18730,cdf:CD630_18750,cdf:CD630_35840,cdf:CD630_36240	NA	NA	NA
K02005	18	11	7	2	HlyD_family_secretion_protein	cdf:CD630_15290	NA	NA	NA
K02006	8	7	12	4	cobalt/nickel_transport_system_ATP-binding_protein	cdf:CD630_03270	ABC_transporters	NA	NA
K02007	7	8	26	6	cobalt/nickel_transport_system_permease_protein	cdf:CD630_03240	ABC_transporters	NA	NA
K02008	4	4	8	1	cobalt/nickel_transport_system_permease_protein	cdf:CD630_03260	ABC_transporters	NA	NA
K02009	6	7	23	2	cobalt/nickel_transport_protein	cdf:CD630_03250	ABC_transporters	NA	NA
K02010	9	6	3	3	iron(III)_transport_system_ATP-binding_protein_[EC:3.6.3.30]	cdf:CD630_35270,cdf:CD630_35300	ABC_transporters	NA	NA
K02011	0	0	0	0	iron(III)_transport_system_permease_protein	cdf:CD630_35290	ABC_transporters	NA	NA
K02012	17	7	3	3	iron(III)_transport_system_substrate-binding_protein	cdf:CD630_29530,cdf:CD630_35250,cdf:CD630_35280	ABC_transporters	NA	NA
K02013	4	4	2	1	iron_complex_transport_system_ATP-binding_protein_[EC:3.6.3.34]	cdf:CD630_16490,cdf:CD630_28750,cdf:CD630_29970	ABC_transporters	NA	NA
K02015	4	2	2	0	iron_complex_transport_system_permease_protein	cdf:CD630_16470,cdf:CD630_16480,cdf:CD630_28760,cdf:CD630_28770,cdf:CD630_29980	ABC_transporters	NA	NA
K02016	2	2	2	0	iron_complex_transport_system_substrate-binding_protein	cdf:CD630_16500,cdf:CD630_28780,cdf:CD630_29990	ABC_transporters	NA	NA
K02017	1	1	1	0	molybdate_transport_system_ATP-binding_protein_[EC:3.6.3.29]	cdf:CD630_08710	ABC_transporters	NA	NA
K02018	1	1	0	0	molybdate_transport_system_permease_protein	cdf:CD630_08700,cdf:CD630_23120	ABC_transporters	NA	NA
K02020	2	0	1	0	molybdate_transport_system_substrate-binding_protein	cdf:CD630_08690,cdf:CD630_23110	ABC_transporters	NA	NA
K02026	15	5	1	2	multiple_sugar_transport_system_permease_protein	cdf:CD630_25480	NA	NA	NA
K02027	4	3	8	0	multiple_sugar_transport_system_substrate-binding_protein	cdf:CD630_07470	NA	NA	NA
K02028	8	6	11	1	polar_amino_acid_transport_system_ATP-binding_protein_[EC:3.6.3.21]	cdf:CD630_07520,cdf:CD630_17760	NA	NA	NA
K02029	4	7	8	0	polar_amino_acid_transport_system_permease_protein	cdf:CD630_07510,cdf:CD630_17750	NA	NA	NA
K02030	4	4	6	0	polar_amino_acid_transport_system_substrate-binding_protein	cdf:CD630_07500,cdf:CD630_17740	NA	NA	NA
K02031	3	3	1	1	peptide/nickel_transport_system_ATP-binding_protein	cdf:CD630_26710	NA	NA	NA
K02032	3	5	3	4	peptide/nickel_transport_system_ATP-binding_protein	cdf:CD630_26700	NA	NA	NA
K02033	70	92	115	8	peptide/nickel_transport_system_permease_protein	cdf:CD630_08530,cdf:CD630_26730	NA	NA	NA
K02034	66	87	105	7	peptide/nickel_transport_system_permease_protein	cdf:CD630_08540,cdf:CD630_26740	NA	NA	NA
K02035	102	178	238	13	peptide/nickel_transport_system_substrate-binding_protein	cdf:CD630_08550,cdf:CD630_26720	NA	NA	NA
K02036	0	0	0	1	phosphate_transport_system_ATP-binding_protein_[EC:3.6.3.27]	cdf:CD630_32610	ABC_transporters	NA	NA
K02037	0	0	0	0	phosphate_transport_system_permease_protein	cdf:CD630_32630	ABC_transporters	NA	NA
K02038	0	0	0	0	phosphate_transport_system_permease_protein	cdf:CD630_32620	ABC_transporters	NA	NA
K02039	0	0	0	0	phosphate_transport_system_protein	cdf:CD630_32600	NA	NA	NA
K02040	4	3	3	1	phosphate_transport_system_substrate-binding_protein	cdf:CD630_32680	ABC_transporters,Two-component_system,Tuberculosis	NA	NA
K02049	1	1	0	0	NitT/TauT_family_transport_system_ATP-binding_protein	cdf:CD630_10010	NA	NA	NA
K02050	2	37	3	2	NitT/TauT_family_transport_system_permease_protein	cdf:CD630_10000,cdf:CD630_19040,cdf:CD630_29910	NA	NA	NA
K02051	7	7	13	0	NitT/TauT_family_transport_system_substrate-binding_protein	cdf:CD630_09990,cdf:CD630_29890	NA	NA	NA
K02071	2	2	1	0	D-methionine_transport_system_ATP-binding_protein	cdf:CD630_14890	ABC_transporters	NA	NA
K02072	2	2	1	0	D-methionine_transport_system_permease_protein	cdf:CD630_14900	ABC_transporters	NA	NA
K02073	4	5	7	1	D-methionine_transport_system_substrate-binding_protein	cdf:CD630_14910	ABC_transporters	NA	NA
K02078	59	40	38	17	acyl_carrier_protein	cdf:CD630_10620,cdf:CD630_11830	NA	NA	NA
K02083	4	6	14	0	allantoate_deiminase_[EC:3.5.3.9]	cdf:CD630_20270	Purine_metabolism,Microbial_metabolism_in_diverse_environments	R02423	C00499=>C02091,C00499<=>C02091
K02108	57	19	22	6	F-type_H+-transporting_ATPase_subunit_a_[EC:3.6.3.14]	cdf:CD630_34740	Oxidative_phosphorylation,Photosynthesis,Metabolic_pathways	NA	NA
K02110	32	15	14	5	F-type_H+-transporting_ATPase_subunit_c_[EC:3.6.3.14]	cdf:CD630_34730	Oxidative_phosphorylation,Photosynthesis,Metabolic_pathways	NA	NA
K02111	75	26	19	6	F-type_H+-transporting_ATPase_subunit_alpha_[EC:3.6.3.14]	cdf:CD630_34700	Oxidative_phosphorylation,Photosynthesis,Metabolic_pathways	NA	NA
K02112	97	33	28	23	F-type_H+-transporting_ATPase_subunit_beta_[EC:3.6.3.14]	cdf:CD630_34680	Oxidative_phosphorylation,Photosynthesis,Metabolic_pathways	NA	NA
K02113	51	20	13	3	F-type_H+-transporting_ATPase_subunit_delta_[EC:3.6.3.14]	cdf:CD630_34710	Oxidative_phosphorylation,Photosynthesis,Metabolic_pathways	NA	NA
K02114	48	14	13	4	F-type_H+-transporting_ATPase_subunit_epsilon_[EC:3.6.3.14]	cdf:CD630_34670	Oxidative_phosphorylation,Photosynthesis,Metabolic_pathways	NA	NA
K02115	80	25	19	4	F-type_H+-transporting_ATPase_subunit_gamma_[EC:3.6.3.14]	cdf:CD630_34690	Oxidative_phosphorylation,Photosynthesis,Metabolic_pathways	NA	NA
K02117	7	88	61	0	V-type_H+-transporting_ATPase_subunit_A_[EC:3.6.3.14]	cdf:CD630_29560	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K02118	7	103	74	0	V-type_H+-transporting_ATPase_subunit_B_[EC:3.6.3.14]	cdf:CD630_29550	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K02119	5	87	69	0	V-type_H+-transporting_ATPase_subunit_C_[EC:3.6.3.14]	cdf:CD630_29570	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K02120	6	100	74	0	V-type_H+-transporting_ATPase_subunit_D_[EC:3.6.3.14]	cdf:CD630_29540	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K02121	8	84	69	0	V-type_H+-transporting_ATPase_subunit_E_[EC:3.6.3.14]	cdf:CD630_29580	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K02123	7	78	78	0	V-type_H+-transporting_ATPase_subunit_I_[EC:3.6.3.14]	cdf:CD630_29600	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K02124	6	76	69	0	V-type_H+-transporting_ATPase_subunit_K_[EC:3.6.3.14]	cdf:CD630_29590	Oxidative_phosphorylation,Metabolic_pathways	NA	NA
K02160	51	25	20	1	acetyl-CoA_carboxylase_biotin_carboxyl_carrier_protein	cdf:CD630_19390	Fatty_acid_biosynthesis,Tetracycline_biosynthesis,Pyruvate_metabolism,Propanoate_metabolism,Carbon_fixation_pathways_in_prokaryotes,Metabolic_pathways,Biosynthesis_of_secondary_metabolites,Microbial_metabolism_in_diverse_environments,Carbon_metabolism,Fatty_acid_metabolism	R00742,R04386	C00024=>C00083,C00288+C00024=>C00083,C00024<=>C00083,C04419+C00024<=>C06250+C00083,C00024=>C00083
K02188	5	4	3	0	cobalt-precorrin-5B_(C1)-methyltransferase_[EC:2.1.1.195]	cdf:CD630_34290	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R07773	C16243=>C11542,C16243<=>C11542
K02189	7	7	3	0	cobalt-precorrin_5A_hydrolase_[EC:3.7.1.12]	cdf:CD630_34250	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R07772	C16242=>C16243,C16242<=>C16243
K02190	7	6	2	1	sirohydrochlorin_cobaltochelatase_[EC:4.99.1.3]	cdf:CD630_34220	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R05807	C05778=>C11538,C05778<=>C11538
K02191	5	4	2	0	cobalt-precorrin-7_(C15)-methyltransferase_[EC:2.1.1.196]	cdf:CD630_34270	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R07775	C16244=>C11545,C16244<=>C11545
K02217	43	59	71	8	ferritin_[EC:1.16.3.1]	cdf:CD630_21950	Porphyrin_and_chlorophyll_metabolism	R00078	C14818=>C14819
K02221	19	21	34	2	YggT_family_protein	cdf:CD630_26210	NA	NA	NA
K02226	13	8	8	1	alpha-ribazole_phosphatase_[EC:3.1.3.73]	cdf:CD630_34360	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R04594	C04778=>C05775,C05775<=>C04778
K02227	4	1	3	0	adenosylcobinamide-phosphate_synthase_[EC:6.3.1.10]	cdf:CD630_34330	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R06529,R07302	C04122+C06507=>C06509,C06507<=>C06509,C06507+C03194=>C06508,C06507<=>C06508
K02231	14	11	9	1	adenosylcobinamide_kinase_/_adenosylcobinamide-phosphate_guanylyltransferase_[EC:2.7.1.156_2.7.7.62]	cdf:CD630_34380	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R05221,R05222,R06558	C06508=>C06509,C06508<=>C06509,C06509=>C06510,C06509<=>C06510,C06508=>C06509,C06508<=>C06509
K02232	4	3	4	0	adenosylcobyric_acid_synthase_[EC:6.3.5.10]	cdf:CD630_34350	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R05225	C06506=>C06507,C06507<=>C06506
K02233	12	8	6	0	adenosylcobinamide-GDP_ribazoletransferase_[EC:2.7.8.26]	cdf:CD630_34370	Porphyrin_and_chlorophyll_metabolism,Metabolic_pathways	R05223	C05775+C06510=>C00194,C05775+C06510<=>C00194
K02237	0	1	0	0	competence_protein_ComEA	cdf:CD630_24970	NA	NA	NA
K02238	0	0	1	0	competence_protein_ComEC	cdf:CD630_24750	NA	NA	NA
K02242	1	0	1	0	competence_protein_ComFC	cdf:CD630_01330	NA	NA	NA
